-6685,-13040,-17613,-17250,-16117,-15197,-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390
-13040,-17613,-17250,-16117,-15197,-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289
-17613,-17250,-16117,-15197,-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856
-17250,-16117,-15197,-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190
-16117,-15197,-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579
-15197,-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414
-13853,-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196
-11468,-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215
-12590,-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979
-12754,-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095
-12649,-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530
-12522,-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524
-12658,-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414
-12127,-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190
-10406,-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731
-8151,-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541
-7187,-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403
-6566,-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55
-5769,-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32
-5183,-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14
-4730,-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226
-4394,-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176
-3554,-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98
-3390,-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431
-3289,-3856,-4190,-4579,-3414,-2196,-2215,-1979,-2095,-2530,-2524,-2414,-2190,-1731,-541,-403,55,-32,-14,-226,-176,-98,-431,-389
